No,time,src_ip,dst_ip,src_mac,dst_mac,protocol,src_port,dst_port,eth_type,flag,frame_len,Src_host_count,Src_ARP_count,Src_ICMP_count,Src_IGMP_count,Src_TCP_count,Src_UDP_count,diff_proto_rate,Diff_dest_port,TCP,UDP,ICMP,IGMP,ARP,label
7682,"Jun 14, 2022 20:37:29.447103000 GMT Summer Time",10.0.0.80,10.0.0.2,e2:5b:0e:ae:7b:ab,8e:81:b5:0d:68:3d,UDP,0,0,0x0800,0,42,3,0,0,0,2,1,2,3,0,1,0,0,0,1
7683,"Jun 14, 2022 20:37:29.447121000 GMT Summer Time",10.0.0.2,10.0.0.80,8e:81:b5:0d:68:3d,ff:ff:ff:ff:ff:ff,ARP,0,0,0x0806,0,42,3510,1042,1150,1150,1318,0,3,15,0,0,0,0,1,0
7684,"Jun 14, 2022 20:37:29.497320000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,316,5,0,0,180,29,4,2,1,0,0,0,0,0
7685,"Jun 14, 2022 20:37:29.497340000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3511,1042,1150,1150,1319,0,3,15,1,0,0,0,0,0
7686,"Jun 14, 2022 20:37:29.830649000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,317,5,0,0,181,29,4,2,1,0,0,0,0,0
7687,"Jun 14, 2022 20:37:29.830666000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3512,1042,1150,1150,1320,0,3,15,1,0,0,0,0,0
7688,"Jun 14, 2022 20:37:30.163961000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,318,5,0,0,182,29,4,2,1,0,0,0,0,0
7689,"Jun 14, 2022 20:37:30.163977000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3513,1042,1150,1150,1321,0,3,15,1,0,0,0,0,0
7690,"Jun 14, 2022 20:37:30.445865000 GMT Summer Time",10.0.0.2,10.0.0.80,8e:81:b5:0d:68:3d,ff:ff:ff:ff:ff:ff,ARP,0,0,0x0806,0,42,3514,1043,1150,1150,1321,0,3,15,0,0,0,0,1,0
7691,"Jun 14, 2022 20:37:30.497299000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,319,5,0,0,183,29,4,2,1,0,0,0,0,0
7692,"Jun 14, 2022 20:37:30.497318000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3515,1043,1150,1150,1322,0,3,15,1,0,0,0,0,0
7693,"Jun 14, 2022 20:37:30.830639000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,320,5,0,0,184,29,4,2,1,0,0,0,0,0
7694,"Jun 14, 2022 20:37:30.830668000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3516,1043,1150,1150,1323,0,3,15,1,0,0,0,0,0
